name,variable_description,data_collection_period,educational_category,high_school_diploma,college_degree,graduate_degree,population_estimate
"Ringgold County, Iowa",GED or alternative credential,2013-2017,High School Graduate,Yes,No,No,123
"Hardin County, Iowa",1st grade,2015-2019,Less than High School,No,No,No,0
"Cerro Gordo County, Iowa","Some college, 1 or more years, no degree",2014-2018,Some College or Associates Degree,Yes,No,No,5048
"Iowa County, Iowa",10th grade,2009-2013,Less than High School,No,No,No,106
"Lyon County, Iowa",6th grade,2010-2014,Less than High School,No,No,No,0
"Grundy County, Iowa",4th grade,2008-2012,Less than High School,No,No,No,2
"Butler County, Iowa",4th grade,2010-2014,Less than High School,No,No,No,0
"Scott County, Iowa",1st grade,2013-2017,Less than High School,No,No,No,0
"Ringgold County, Iowa",9th grade,2008-2012,Less than High School,No,No,No,42
"Dickinson County, Iowa",2nd grade,2013-2017,Less than High School,No,No,No,0
"Buena Vista County, Iowa",Associate's degree,2010-2014,Some College or Associates Degree,Yes,Yes,No,997
"Guthrie County, Iowa",2nd grade,2013-2017,Less than High School,No,No,No,0
"Clay County, Iowa",4th grade,2011-2015,Less than High School,No,No,No,0
"Calhoun County, Iowa",Doctorate degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,36
"O'Brien County, Iowa","Some college, less than 1 year",2012-2016,Some College or Associates Degree,Yes,No,No,753
"Poweshiek County, Iowa",Professional school degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,Yes,170
"Franklin County, Iowa","12th grade, no diploma",2011-2015,Less than High School,No,No,No,100
"Floyd County, Iowa",Doctorate degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,Yes,69
"Warren County, Iowa",Doctorate degree,2008-2012,Bachelors Degree or Higher,Yes,Yes,Yes,218
"Van Buren County, Iowa",8th grade,2008-2012,Less than High School,No,No,No,186
"Carroll County, Iowa",Doctorate degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,191
"Dickinson County, Iowa",Bachelor's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,2215
"Wright County, Iowa",Total,2013-2017,NA,NA,NA,NA,8954
"Jasper County, Iowa",11th grade,2010-2014,Less than High School,No,No,No,604
"Henry County, Iowa",Doctorate degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,43
"Johnson County, Iowa",8th grade,2010-2014,Less than High School,No,No,No,1133
"Hardin County, Iowa",Doctorate degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,Yes,52
"Hamilton County, Iowa","Some college, 1 or more years, no degree",2012-2016,Some College or Associates Degree,Yes,No,No,1870
"Ida County, Iowa",No schooling completed,2009-2013,Less than High School,No,No,No,24
