Geographic Area,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Linn County, Iowa","211,226","211,243","211,705","214,207","215,485","216,488","218,129","220,271","222,188","224,379","225,763","226,706"
".Louisa County, Iowa","11,387","11,387","11,382","11,381","11,360","11,348","11,250","11,285","11,221","11,195","11,153","11,035"
".Lucas County, Iowa","8,898","8,900","8,898","8,880","8,778","8,697","8,636","8,610","8,555","8,533","8,617","8,600"
".Lyon County, Iowa","11,581","11,581","11,567","11,692","11,757","11,695","11,703","11,747","11,780","11,785","11,815","11,755"
".Madison County, Iowa","15,679","15,681","15,739","15,740","15,641","15,483","15,616","15,720","15,796","16,000","16,206","16,338"
".Mahaska County, Iowa","22,381","22,382","22,408","22,501","22,398","22,421","22,363","22,312","22,186","22,211","22,018","22,095"
".Marion County, Iowa","33,309","33,307","33,225","33,270","33,274","33,014","33,269","33,109","33,146","33,091","33,259","33,253"
".Marshall County, Iowa","40,648","40,648","40,722","41,013","41,032","40,995","40,722","40,352","40,135","40,078","39,888","39,369"
".Mills County, Iowa","15,059","15,059","15,076","15,029","14,873","14,905","14,760","14,882","15,053","15,060","15,068","15,109"
".Mitchell County, Iowa","10,776","10,776","10,793","10,709","10,716","10,669","10,700","10,676","10,644","10,563","10,571","10,586"
".Monona County, Iowa","9,243","9,242","9,248","9,238","9,091","9,032","8,899","8,866","8,786","8,724","8,659","8,615"
".Monroe County, Iowa","7,970","7,972","7,997","8,060","8,073","7,979","7,958","7,924","7,836","7,798","7,768","7,707"
".Montgomery County, Iowa","10,740","10,740","10,690","10,632","10,540","10,404","10,384","10,149","10,124","10,112","9,961","9,917"
".Muscatine County, Iowa","42,745","42,803","42,803","42,842","42,916","43,010","43,028","43,068","42,968","42,872","42,874","42,664"
".O'Brien County, Iowa","14,398","14,398","14,408","14,218","14,156","14,045","14,042","13,926","13,926","13,774","13,798","13,753"
".Osceola County, Iowa","6,462","6,462","6,459","6,316","6,204","6,236","6,231","6,160","6,095","6,021","6,028","5,958"
